Statistic Label,Month,Type of Residential Property,UNIT,VALUE
Residential Property Price Index,2010 September,Dublin - apartments,Base Jan 2005 = 100,64.1
Residential Property Price Index,2010 October,National - all residential properties,Base Jan 2005 = 100,81.6
Residential Property Price Index,2010 October,National - houses,Base Jan 2005 = 100,84.8
Residential Property Price Index,2010 October,National - apartments,Base Jan 2005 = 100,64.4
Residential Property Price Index,2010 October,Dublin - all residential properties,Base Jan 2005 = 100,74
Residential Property Price Index,2010 October,Dublin - houses,Base Jan 2005 = 100,78.4
Residential Property Price Index,2010 October,Dublin - apartments,Base Jan 2005 = 100,63.1
Residential Property Price Index,2010 November,National - all residential properties,Base Jan 2005 = 100,79.9
Residential Property Price Index,2010 November,National - houses,Base Jan 2005 = 100,83
Residential Property Price Index,2010 November,National - apartments,Base Jan 2005 = 100,63.1
Residential Property Price Index,2010 November,Dublin - all residential properties,Base Jan 2005 = 100,72.5
Residential Property Price Index,2010 November,Dublin - houses,Base Jan 2005 = 100,76.7
Residential Property Price Index,2010 November,Dublin - apartments,Base Jan 2005 = 100,61.7
Residential Property Price Index,2010 December,National - all residential properties,Base Jan 2005 = 100,78.7
Residential Property Price Index,2010 December,National - houses,Base Jan 2005 = 100,81.7
Residential Property Price Index,2010 December,National - apartments,Base Jan 2005 = 100,62.5
Residential Property Price Index,2010 December,Dublin - all residential properties,Base Jan 2005 = 100,71.2
Residential Property Price Index,2010 December,Dublin - houses,Base Jan 2005 = 100,75.2
Residential Property Price Index,2010 December,Dublin - apartments,Base Jan 2005 = 100,61.4
Residential Property Price Index,2011 January,National - all residential properties,Base Jan 2005 = 100,78
Residential Property Price Index,2011 January,National - houses,Base Jan 2005 = 100,80.8
Residential Property Price Index,2011 January,National - apartments,Base Jan 2005 = 100,62.5
Residential Property Price Index,2011 January,Dublin - all residential properties,Base Jan 2005 = 100,70.5
Residential Property Price Index,2011 January,Dublin - houses,Base Jan 2005 = 100,74
Residential Property Price Index,2011 January,Dublin - apartments,Base Jan 2005 = 100,61.9
